,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
0,0,"The Company is engaged in identifying relevant areas and key performance indicators for each principle that would aid in laying roadmap for attaining short, medium and long term goals and target.","The Company is engaged in identifying relevant areas and key performance indicators for each principle that would aid in laying roadmap for attaining short, medium and long term goals and target.",Governance,"Identifying relevant areas and key performance indicators and laying roadmap for attaining short, medium and long term goals",null,Ongoing,Qualitative
1,4,"Our objective is to generate value for all involved in our operations, not only through our products, but by effectively balancing our sustainability goals with our business objectives. To this effect, KEI has worked extensively with its stakeholders and working on strategic objectives aiming towards sustainable operations. KEI has identified key material topics through materiality survey it conducted across its stakeholders during the year. Basis that it is in process to define its roadmap towards sustainability. Following are some of the themes identified for the roadmap:

1. Climate Change and Energy Monitoring and reduction in emission, water and waste.

2. Health & Safety – Ensuring zero fatalities at all our plants.

3. Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.

4. ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.","Climate Change and Energy Monitoring and reduction in emission, water and waste.",Climate,"Monitoring and reduction in emission, water and waste",,,
2,4,"Our objective is to generate value for all involved in our operations, not only through our products, but by effectively balancing our sustainability goals with our business objectives. To this effect, KEI has worked extensively with its stakeholders and working on strategic objectives aiming towards sustainable operations. KEI has identified key material topics through materiality survey it conducted across its stakeholders during the year. Basis that it is in process to define its roadmap towards sustainability. Following are some of the themes identified for the roadmap:

1. Climate Change and Energy Monitoring and reduction in emission, water and waste.

2. Health & Safety – Ensuring zero fatalities at all our plants.

3. Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.

4. ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.",Health & Safety – Ensuring zero fatalities at all our plants.,Health & Safety,Ensuring zero fatalities at all our plants,Zero fatalities,ongoing,
3,4,"Our objective is to generate value for all involved in our operations, not only through our products, but by effectively balancing our sustainability goals with our business objectives. To this effect, KEI has worked extensively with its stakeholders and working on strategic objectives aiming towards sustainable operations. KEI has identified key material topics through materiality survey it conducted across its stakeholders during the year. Basis that it is in process to define its roadmap towards sustainability. Following are some of the themes identified for the roadmap:

1. Climate Change and Energy Monitoring and reduction in emission, water and waste.

2. Health & Safety – Ensuring zero fatalities at all our plants.

3. Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.

4. ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.",Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.,Supply Chain,Undertaking supplier due diligence to ensure alignment with ESG principles,,,
4,4,"Our objective is to generate value for all involved in our operations, not only through our products, but by effectively balancing our sustainability goals with our business objectives. To this effect, KEI has worked extensively with its stakeholders and working on strategic objectives aiming towards sustainable operations. KEI has identified key material topics through materiality survey it conducted across its stakeholders during the year. Basis that it is in process to define its roadmap towards sustainability. Following are some of the themes identified for the roadmap:

1. Climate Change and Energy Monitoring and reduction in emission, water and waste.

2. Health & Safety – Ensuring zero fatalities at all our plants.

3. Supplier engagement – Undertaking supplier due diligence to ensure alignment with ESG principles.

4. ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.",ESG Reporting – Work towards enhancing ESG reporting process and establish clear accountability.,Governance,Enhancing ESG reporting process and establish clear accountability,,,
5,5,"•Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year
•Stakeholder engagement exercise 2023-25 
•Implement sustainable sourcing practices in its supply chain by 2028
•Obtain ZLD in all plants by 2029","Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year",Climate,Reduce Scope 1 and 2 GHG emissions,10% reduction,2030,Quantitative
6,5,"•Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year
•Stakeholder engagement exercise 2023-25 
•Implement sustainable sourcing practices in its supply chain by 2028
•Obtain ZLD in all plants by 2029",Stakeholder engagement exercise 2023-25,Governance,Conduct stakeholder engagement exercise,null,2023-25,Qualitative
7,5,"•Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year
•Stakeholder engagement exercise 2023-25 
•Implement sustainable sourcing practices in its supply chain by 2028
•Obtain ZLD in all plants by 2029",Implement sustainable sourcing practices in its supply chain by 2028,Supply Chain,Implement sustainable sourcing practices,null,2028,Qualitative
8,5,"•Reduce companywide absolute Scope 1 and 2 GHG emissions by 10% by 2030, against a 2023 base year
•Stakeholder engagement exercise 2023-25 
•Implement sustainable sourcing practices in its supply chain by 2028
•Obtain ZLD in all plants by 2029",Obtain ZLD in all plants by 2029,Other,Obtain Zero Liquid Discharge (ZLD) in all plants,All plants,2029,Qualitative
9,7,We are in the process of re-evaluating our existing sustainability standards and setting the goals and targets in line with the NGRBC/GRI framework.,We are in the process of re-evaluating our existing sustainability standards and setting the goals and targets in line with the NGRBC/GRI framework.,Governance,Re-evaluating existing sustainability standards and setting goals and targets in line with NGRBC/GRI framework,null,ongoing,
10,8,"Our organisation has entered a new chapter by issuing the Business Responsibility Sustainability Report, which signifies our adoption of ESG reporting. Thanks to this initiative, we now have more room to expand and can better align ourselves with our international competition. We have modified our work processes and policies to assist in this endeavour. In addition, several ISO standards such as ISO 45001, ISO 26000, ISO 20400 and ISO 37001 are now being implemented. Several of our projects are still in the early phases of development and should be finished on time, it''s vital to remember that.","several ISO standards such as ISO 45001, ISO 26000, ISO 20400 and ISO 37001 are now being implemented.",Governance,Implement several ISO standards,N/A,ongoing,Qualitative
11,9,"Mahindra Lifespace Developers Limited has ESG and other business commitments with detailed goals & yearly targets (defined in the 5-year roadmap available on the company website), and the progress against these targets is communicated through the sustainability/integrated report and other stakeholder disclosures such as CDP & GRESB available in the public domain.
Commitments:
1. 100% Green Portfolio
2. Carbon neutrality by 2040 (Science Based Targets as enabler)
3. Net Zero by 2030
The company’s detailed ESG commitments and targets can be accessed at -https://www.mahindralifespaces.com/sustainability-core/our-commitments/",100% Green Portfolio,Climate,Green Portfolio,100%,ongoing,
12,9,"Mahindra Lifespace Developers Limited has ESG and other business commitments with detailed goals & yearly targets (defined in the 5-year roadmap available on the company website), and the progress against these targets is communicated through the sustainability/integrated report and other stakeholder disclosures such as CDP & GRESB available in the public domain.
Commitments:
1. 100% Green Portfolio
2. Carbon neutrality by 2040 (Science Based Targets as enabler)
3. Net Zero by 2030
The company’s detailed ESG commitments and targets can be accessed at -https://www.mahindralifespaces.com/sustainability-core/our-commitments/",Carbon neutrality by 2040 (Science Based Targets as enabler),Climate,Carbon neutrality,Carbon neutrality,2040,
13,9,"Mahindra Lifespace Developers Limited has ESG and other business commitments with detailed goals & yearly targets (defined in the 5-year roadmap available on the company website), and the progress against these targets is communicated through the sustainability/integrated report and other stakeholder disclosures such as CDP & GRESB available in the public domain.
Commitments:
1. 100% Green Portfolio
2. Carbon neutrality by 2040 (Science Based Targets as enabler)
3. Net Zero by 2030
The company’s detailed ESG commitments and targets can be accessed at -https://www.mahindralifespaces.com/sustainability-core/our-commitments/",Net Zero by 2030,Climate,Net Zero,Net Zero,2030,
14,10,"Provide
value to
customers",Provide value to customers,CSR,Provide value to customers,,,
15,11,"1. Conduct customer
satisfaction surveys.

2. Address & resolve their
grievances/issues",Conduct customer satisfaction surveys.,CSR,Conduct customer satisfaction surveys,N/A,ongoing,Qualitative
16,11,"1. Conduct customer
satisfaction surveys.

2. Address & resolve their
grievances/issues",Address & resolve their grievances/issues,CSR,Address & resolve customer grievances/issues,N/A,ongoing,Qualitative
17,13,"The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building. This commitment serves as a guiding framework for investments in businesses that drive India''s economic growth and improve citizen well-being. The Company has integrated this sustainability commitment into its strategy, business processes, and decision-making practices. We are in the process of setting sustainability goals related to Board Governance aligned with benchmark practices, exploring possibilities of bringing the carbon and water footprint down for internal business operations, zero incidents at workplace,  comprehensive materiality assessment & stakeholder engagement and aligning CSR initiatives of the Company with the UNSDGs.",The Group''s commitment to achieving 10 GW of capacity by 2030 aligns with its dedication to sustainable development and the overarching goal of Nation Building.,Other,Achieve capacity,10 GW,2030,
