,Unnamed: 0,doc_index,original_text,extraction_text,mechanism_type,scope,responsible_entity,actions_taken,contact_info,policy_reference,status_or_effectiveness
0,0,0,"The Company believes in diversity and inclusiveness that respects and promotes human rights. The Company has in place, a code of conduct policy to safeguard the rights of its employees, vendors and service providers across its businesses, which abides by the laws of country. The policies of the Company are in line with national standards and relevant international standards for its operation and business pursuits, taking into account the human rights of not only employees but also people likely to be affected by the operations of the Company. The internal policies of Company on code of conduct and CSR recognizes the key aspect of human rights which lays down the acceptable behaviour of the employees and provides for stringent disciplinary actions in case of violations of these policies.","Code of Conduct Policy to safeguard the rights of its employees, vendors and service providers",Policy,"employees, vendors, service providers",Company,"Safeguards rights, lays down acceptable behavior, provides for stringent disciplinary actions in case of violations",,Code of Conduct Policy,Active
1,1,2,"""The Human Rights Policy"" at MICL incorporates a robust grievance redressal mechanism for addressing human rights issues. Stakeholders are actively encouraged to report any violations they encounter. With a firm commitment to addressing complaints swiftly and effectively, MICL pledges to resolve all human rights grievances promptly. The company is dedicated to taking appropriate actions to rectify any identified adverse impacts on human rights and to prevent future violations. By fostering a culture of accountability and responsiveness, MICL endeavors to uphold its commitment to respecting and safeguarding human rights across its operations.",Grievance redressal mechanism under Human Rights Policy,Policy,stakeholders,MICL,"Addresses human rights issues, resolves grievances promptly, takes appropriate actions to rectify any identified adverse impacts on human rights, prevents future violations, fosters a culture of accountability and responsiveness",,Human Rights Policy,Active
2,2,4,"KEI is committed to prevent any human rights violation and ensure the compliance to the Policy through a mechanism implemented by the HR Department and regularly monitored by grievance handling committee as defined under grievance policy. The Committee takes necessary action in cases of serious misconduct and inappropriate corporate behaviour. The committee determines the severity of the incident and its impact, based on which appropriate action is taken by the committee head, which is final and binding. The complainant may raise protected disclosure through email: grievance@kei-ind.com 

The company’s Open-Door policy encompasses all the necessary measures for addressing the concerns of its employees and workers. The Company has in place ‘Code of Conduct Policy’, ‘Vigil Mechanism/Whistle Blower Policy’ and an ‘EHS Policy’ which forms a part of the grievance redressal and are provided to for employees, workers, suppliers, customers, and other stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate our codes, policies, and business ethics, amongst others.",Mechanism implemented by the HR Department and regularly monitored by grievance handling committee,Committee,employees,"HR Department, Grievance Handling Committee, Committee Head","Prevents human rights violation, ensures compliance, monitors, takes necessary action in cases of serious misconduct and inappropriate corporate behaviour, determines severity and impact, takes appropriate action which is final and binding",grievance@kei-ind.com,grievance policy,Active
3,3,4,"KEI is committed to prevent any human rights violation and ensure the compliance to the Policy through a mechanism implemented by the HR Department and regularly monitored by grievance handling committee as defined under grievance policy. The Committee takes necessary action in cases of serious misconduct and inappropriate corporate behaviour. The committee determines the severity of the incident and its impact, based on which appropriate action is taken by the committee head, which is final and binding. The complainant may raise protected disclosure through email: grievance@kei-ind.com 

The company’s Open-Door policy encompasses all the necessary measures for addressing the concerns of its employees and workers. The Company has in place ‘Code of Conduct Policy’, ‘Vigil Mechanism/Whistle Blower Policy’ and an ‘EHS Policy’ which forms a part of the grievance redressal and are provided to for employees, workers, suppliers, customers, and other stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate our codes, policies, and business ethics, amongst others.",Open-Door policy,Open-Door,employees and workers,Company,Encompasses all necessary measures for addressing concerns,,,
4,4,4,"KEI is committed to prevent any human rights violation and ensure the compliance to the Policy through a mechanism implemented by the HR Department and regularly monitored by grievance handling committee as defined under grievance policy. The Committee takes necessary action in cases of serious misconduct and inappropriate corporate behaviour. The committee determines the severity of the incident and its impact, based on which appropriate action is taken by the committee head, which is final and binding. The complainant may raise protected disclosure through email: grievance@kei-ind.com 

The company’s Open-Door policy encompasses all the necessary measures for addressing the concerns of its employees and workers. The Company has in place ‘Code of Conduct Policy’, ‘Vigil Mechanism/Whistle Blower Policy’ and an ‘EHS Policy’ which forms a part of the grievance redressal and are provided to for employees, workers, suppliers, customers, and other stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate our codes, policies, and business ethics, amongst others.",Code of Conduct Policy,Policy,"employees, workers, suppliers, customers, other stakeholders",Company,"Allows stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate codes, policies, and business ethics",,Code of Conduct Policy,Active
5,5,4,"KEI is committed to prevent any human rights violation and ensure the compliance to the Policy through a mechanism implemented by the HR Department and regularly monitored by grievance handling committee as defined under grievance policy. The Committee takes necessary action in cases of serious misconduct and inappropriate corporate behaviour. The committee determines the severity of the incident and its impact, based on which appropriate action is taken by the committee head, which is final and binding. The complainant may raise protected disclosure through email: grievance@kei-ind.com 

The company’s Open-Door policy encompasses all the necessary measures for addressing the concerns of its employees and workers. The Company has in place ‘Code of Conduct Policy’, ‘Vigil Mechanism/Whistle Blower Policy’ and an ‘EHS Policy’ which forms a part of the grievance redressal and are provided to for employees, workers, suppliers, customers, and other stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate our codes, policies, and business ethics, amongst others.",Vigil Mechanism/Whistle Blower Policy,Whistleblower,"employees, workers, suppliers, customers, other stakeholders",Company,"Allows stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate codes, policies, and business ethics",,Vigil Mechanism/Whistle Blower Policy,Active
6,6,4,"KEI is committed to prevent any human rights violation and ensure the compliance to the Policy through a mechanism implemented by the HR Department and regularly monitored by grievance handling committee as defined under grievance policy. The Committee takes necessary action in cases of serious misconduct and inappropriate corporate behaviour. The committee determines the severity of the incident and its impact, based on which appropriate action is taken by the committee head, which is final and binding. The complainant may raise protected disclosure through email: grievance@kei-ind.com 

The company’s Open-Door policy encompasses all the necessary measures for addressing the concerns of its employees and workers. The Company has in place ‘Code of Conduct Policy’, ‘Vigil Mechanism/Whistle Blower Policy’ and an ‘EHS Policy’ which forms a part of the grievance redressal and are provided to for employees, workers, suppliers, customers, and other stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate our codes, policies, and business ethics, amongst others.",EHS Policy,Policy,"employees, workers, suppliers, customers, other stakeholders",Company,"Allows stakeholders to disclose information, practices or actions that may be inappropriate or illegal and/or violate codes, policies, and business ethics",,EHS Policy,Active
7,7,5,"The human rights policy provides a grievance redressal mechanism for addressing any abuse against human rights. The company ensures prompt, impartial, and effective handling of complaints. Key aspects include non-discrimination, zero tolerance for child and forced labor, prevention of harassment, and protection of privacy. The policy is communicated to all stakeholders, with training provided to ensure compliance. Any concerned or complaints regarding the violation of human rights they can be report at  mstyagi@salasartechno.com",Grievance redressal mechanism under human rights policy,Policy,all stakeholders,Company,"Addresses any abuse against human rights, ensures prompt, impartial, and effective handling of complaints, enforces non-discrimination, zero tolerance for child and forced labor, prevents harassment, and protects privacy",mstyagi@salasartechno.com,Human Rights Policy,Active
8,8,6,"- All grievances are addressed as and when received by the respective Project Head in coordination with HR. All the grievances received are duly investigated and appropriate actions are taken to resolve the issue/complaint. Whenever required, disciplinary actions are initiated as deemed fit.",Grievance redressal mechanism by Project Head in coordination with HR,Open-Door,employees,"Project Head, HR","Grievances are investigated, appropriate actions are taken to resolve issues/complaints, disciplinary actions are initiated when required",Respective Project Head,Company's internal grievance process,"Active, effective"
9,9,7,The grievance can be raised with their respective Head of Department/ Projects Heads/ Business Head/ Plant Heads and will be resolved with the necessary action based on the circumstances.,Grievance can be raised with respective Head of Department/ Projects Heads/ Business Head/ Plant Heads,Open-Door,employees,Head of Department/ Projects Heads/ Business Head/ Plant Heads,Resolved with necessary action based on the circumstances,Respective Head of Department/ Projects Heads/ Business Head/ Plant Heads,Not specified,Active
